row_number,validation_status,validation_errors,validation_warnings,source_observation,import_action,existing_in_supabase,exclusion_reason,SKU_COMPLETE,FAMILY_CODE,REF_CODE,VERSION_CODE,COLOR_CODE,SAP_DESCRIPTION,PRODUCT_TYPE,DESIGNATION,PRODUCT_NAME,WIDTH_CM,DEPTH_CM,HEIGHT_CM,WEIGHT_KG,UNIT_OF_MEASURE,REF_ATTR_rh,REF_ATTR_carb2,REF_ATTR_bisagras,REF_ATTR_canto_puertas,REF_ATTR_accessory_text,REF_ATTR_armado_con_lvm,REF_ATTR_door_color_text,REF_ATTR_product_type,REF_ATTR_assembled_flag,VERSION_ATTR_isometric_path,VERSION_ATTR_isometric_asset_id,VERSION_ATTR_private_label_flag,VERSION_ATTR_private_label_client_id,VERSION_ATTR_private_label_client_name,VERSION_ATTR_accessory_text,RH,CARB2,PUR,RH_SOURCE,CARB2_SOURCE,PUR_SOURCE,RH_VALIDATION,CARB2_VALIDATION,PUR_VALIDATION,NAME_ES_CURRENT_OR_GENERATED,NAME_EN_CURRENT_OR_GENERATED,NAME_ES_REQUIRES_REVIEW,NAME_EN_REQUIRES_REVIEW,NAME_GENERATION_NOTES,ISOMETRIC_SOURCE_PATH,ISOMETRIC_TARGET_PATH,ISOMETRIC_ASSET_ID,ISOMETRIC_STATUS,ISOMETRIC_NOTES,existing_family_id,existing_product_reference_id,existing_product_version_id,existing_color_id,matched_reference_base,matched_version,matched_color,create_family,create_reference,create_version,create_color,create_sku,reuse_existing_family,reuse_existing_reference,reuse_existing_version,reuse_existing_color
1,EXISTENTE,,,,IGNORAR,SI,,VBAN05-0003-000-0100,BAN05,0003,000,0100,MUEBLE BASICO ELEVADO LVM 48X43 CON MANIJAS BLANCO,MUEBLE,,,,,,,UN,NA,NA,BISAGRAS CIERRE LENTO,CANTO 2 MM,CON MANIJAS,,NA,,,,,,,,,false,false,false,,,,,,,BASICO,,NO,SI,,,,,VINCULADO,,,63227ebe-8095-4082-a3c6-3844a31e3f46,41945c7e-d127-4ae1-a9b1-7b8d4d2e626b,,0003,000,0100,,NO,NO,,NO,SI,SI,SI,SI
2,EXISTENTE,,,,IGNORAR,SI,,VBAN05-0009-000-0100,BAN05,0009,000,0100,MUEBLE BASICO ELEVADO LVM 63X48 CON MANIJAS BLANCO,MUEBLE,,,,,,,UN,NA,NA,BISAGRAS CIERRE LENTO,CANTO 2 MM,CON MANIJAS,,NA,,,,,,,,,false,false,false,,,,,,,BASICO,,NO,SI,,,,,VINCULADO,,,25ebbc07-e114-4784-8384-d2b2ccedf498,743007d6-e2dd-4148-ae5d-c6e6e8d87890,,0009,000,0100,,NO,NO,,NO,SI,SI,SI,SI
3,EXISTENTE,,,,IGNORAR,SI,,VBAN05-0010-000-0100,BAN05,0010,000,0100,RH MUEBLE BASICO ELEVADO LVM 63X48 CON MANIJAS BLANCO,MUEBLE,,,,,,,UN,RH,NA,BISAGRAS CIERRE LENTO,CANTO 2 MM,CON MANIJAS,,NA,,,,,,,,,true,false,false,DESCRIPCION,,,,,,BASICO,,NO,SI,,,,,VINCULADO,,,5a557701-f0e3-4141-9c6c-fb24058b2c8d,076bbd82-79a3-4a7d-a71d-340857e2bc1e,,0010,000,0100,,NO,NO,,NO,SI,SI,SI,SI
4,EXISTENTE,,,,IGNORAR,SI,,VBAN05-0012-000-0100,BAN05,0012,000,0100,MUEBLE MONET ELEVADO LVM 63X48 BLANCO,MUEBLE,,,,,,,UN,NA,NA,BISAGRAS CIERRE LENTO,CANTO 2 MM,RFE,,NA,,,,,,,,,false,false,false,,,,,,,MONET,,NO,SI,,,,,VINCULADO,,,c98064d1-1f6f-4bd8-8e69-37c37a105db6,4c89913c-87da-41f8-b509-febe58c67d40,,0012,000,0100,,NO,NO,,NO,SI,SI,SI,SI
5,EXISTENTE,,,,IGNORAR,SI,,VBAN05-0015-000-0100,BAN05,0015,000,0100,MUEBLE BASICO PISO LVM 63X48 BLANCO,MUEBLE,,,,,,,UN,NA,NA,BISAGRAS CIERRE LENTO,CANTO 2 MM,CON MANIJAS,,NA,,,,,,,,,false,false,false,,,,,,,BASICO,,NO,SI,,,,,VINCULADO,,,fb423c93-9472-4912-9e8b-c5583c0ca039,e5fcceb0-7aa4-460c-a456-944e40cf9e58,,0015,000,0100,,NO,NO,,NO,SI,SI,SI,SI
6,EXISTENTE,,,,IGNORAR,SI,,VBAN05-0019-000-0100,BAN05,0019,000,0100,MUEBLE TIZIANO ELEVADO LVM 79X48 BLANCO,MUEBLE,,,,,,,UN,NA,NA,BISAGRAS CIERRE LENTO,CANTO 0.45 MM,RFE,,NA,,,,,,,,,false,false,false,,,,,,,TIZIANO,,NO,SI,,,,,VINCULADO,,,d7fa12fa-9580-4bc4-becb-f7c2558b7f8c,3e7cb23b-2d45-4c09-9388-56a105eb3632,,0019,000,0100,,NO,NO,,NO,SI,SI,SI,SI
7,EXISTENTE,,,,IGNORAR,SI,,VBAN05-0020-000-0100,BAN05,0020,000,0100,RH MUEBLE TIZIANO ELEVADO LVM 79X48 BLANCO,MUEBLE,,,,,,,UN,RH,NA,BISAGRAS CIERRE LENTO,CANTO 0.45 MM,RFE,,NA,,,,,,,,,true,false,false,DESCRIPCION,,,,,,TIZIANO,,NO,SI,,,,,VINCULADO,,,bd1ffcd7-9cb5-4356-bfcf-edfa4413e868,33a07d67-7c41-4271-bb3d-39581bc8daff,,0020,000,0100,,NO,NO,,NO,SI,SI,SI,SI
8,EXISTENTE,,,,IGNORAR,SI,,VBAN05-0022-000-0100,BAN05,0022,000,0100,RH MUEBLE BASICO ELEVADO LVM 48X38 CON MANIJAS BLANCO,MUEBLE,,,,,,,UN,RH,NA,BISAGRAS CIERRE LENTO,CANTO 2 MM,CON MANIJAS,,NA,,,,,,,,,true,false,false,DESCRIPCION,,,,,,BASICO,,NO,SI,,,,,VINCULADO,,,6d48d031-b645-4df6-97ec-7920829deadc,977514b2-1e14-41f8-98bb-4c313e144369,,0022,000,0100,,NO,NO,,NO,SI,SI,SI,SI
9,EXISTENTE,,,,IGNORAR,SI,,VBAN05-0025-000-0100,BAN05,0025,000,0100,RH MUEBLE MONET ELEVADO LVM 63X48 BLANCO,MUEBLE,,,,,,,UN,RH,NA,BISAGRAS CIERRE LENTO,CANTO 2 MM,RFE,,NA,,,,,,,,,true,false,false,DESCRIPCION,,,,,,MONET,,NO,SI,,,,,VINCULADO,,,899c00cc-8eab-4c8c-bc96-080b87151538,adf85da5-d4ec-43df-bdf1-28dbd74e5603,,0025,000,0100,,NO,NO,,NO,SI,SI,SI,SI
10,EXISTENTE,,,,IGNORAR,SI,,VBAN05-0029-000-0100,BAN05,0029,000,0100,RH MUEBLE BASICO PISO LVM 48X38 BLANCO,MUEBLE,,,,,,,UN,RH,NA,BISAGRAS CIERRE LENTO,CANTO 2 MM,CON MANIJAS,,NA,,,,,,,,,true,false,false,DESCRIPCION,,,,,,BASICO,,NO,SI,,,,,VINCULADO,,,aef024f0-6f11-45ba-8f69-61247de74238,4637d5ea-cbdd-4418-8d9e-d251415310ed,,0029,000,0100,,NO,NO,,NO,SI,SI,SI,SI
11,PENDIENTE,,,,CREAR,NO,,VBAN05-0029-CME-0100,BAN05,0029,CME,0100,RH MUEBLE BASICO PISO LVM 48X38 BLANCO - MANIJA NEGRA,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
12,EXISTENTE,,,,IGNORAR,SI,,VBAN05-0029-MRH-0100,BAN05,0029,MRH,0100,RH MUEBLE BASICO PISO LVM 48X38 BLANCO,MUEBLE,,,,,,,UN,RH,NA,BISAGRAS CIERRE LENTO,CANTO 2 MM,CON MANIJAS,,NA,,,,,,,,,true,false,false,DESCRIPCION,,,,,,BASICO,,NO,SI,,,,,VINCULADO,,,aef024f0-6f11-45ba-8f69-61247de74238,5471ef5f-cf16-4e93-8ec8-e9aa747a7c72,,0029,MRH,0100,,NO,NO,,NO,SI,SI,SI,SI
13,EXISTENTE,,,,IGNORAR,SI,,VBAN05-0033-000-0100,BAN05,0033,000,0100,RH MUEBLE BASICO ELEVADO LVM 48X43 CON MANIJAS BLANCO,MUEBLE,,,,,,,UN,RH,NA,BISAGRAS CIERRE LENTO,CANTO 2 MM,CON MANIJAS,,NA,,,,,,,,,true,false,false,DESCRIPCION,,,,,,BASICO,,NO,SI,,,,,VINCULADO,,,40d2b829-fc85-466d-a635-ea7d5450a0eb,d7c2605b-b148-47ba-a2ee-09cd50a74d04,,0033,000,0100,,NO,NO,,NO,SI,SI,SI,SI
14,EXISTENTE,,,,IGNORAR,SI,,VBAN05-0033-PRO-0100,BAN05,0033,PRO,0100,RH MUEBLE BASICO ELEVADO LVM 48X43 CON MANIJAS PROMART BLANCO,MUEBLE,,,,,,,UN,RH,NA,BISAGRAS CIERRE LENTO,CANTO 2 MM,CON MANIJAS,,NA,,,,,,,,,true,false,false,DESCRIPCION,,,,,,BASICO,,NO,SI,,,,,VINCULADO,,,40d2b829-fc85-466d-a635-ea7d5450a0eb,3d9078fa-f8a0-4ea6-b8cc-3cfedea8c5fa,,0033,PRO,0100,,NO,NO,,NO,SI,SI,SI,SI
15,EXISTENTE,,,,IGNORAR,SI,,VBAN05-0039-000-0100,BAN05,0039,000,0100,MUEBLE VALDEZ PISO LVM 48X43 BLANCO,MUEBLE,,,,,,,UN,NA,NA,BISAGRAS CIERRE LENTO,CANTO 0.45 MM,RFE,,NA,,,,,,,,,false,false,false,,,,,,,VALDEZ,,NO,SI,,,,,VINCULADO,,,cff9c5dd-b254-4803-b600-752bd437baca,2d965145-ea48-4389-94d5-e6c685010bab,,0039,000,0100,,NO,NO,,NO,SI,SI,SI,SI
16,EXISTENTE,,,,IGNORAR,SI,,VBAN05-0051-000-0100,BAN05,0051,000,0100,MUEBLE VALDEZ ELEVADO LVM 48X43 BLANCO,MUEBLE,,,,,,,UN,NA,NA,BISAGRAS CIERRE LENTO,CANTO 0.45 MM,RFE,,NA,,,,,,,,,false,false,false,,,,,,,VALDEZ,,NO,SI,,,,,VINCULADO,,,b15cecb8-ac95-48bc-8126-95d49219291a,658214f5-611b-40cd-b705-dbfc6e4bb727,,0051,000,0100,,NO,NO,,NO,SI,SI,SI,SI
17,EXISTENTE,,,,IGNORAR,SI,,VBAN05-0052-000-0100,BAN05,0052,000,0100,RH MUEBLE VALDEZ PISO LVM 48X43 BLANCO,MUEBLE,,,,,,,UN,RH,NA,BISAGRAS CIERRE LENTO,CANTO 0.45 MM,RFE,,NA,,,,,,,,,true,false,false,DESCRIPCION,,,,,,VALDEZ,,NO,SI,,,,,VINCULADO,,,bd74429f-265f-441c-a9e1-4f43e4babce7,4b3a1334-cbb0-4caa-b61b-2cb5b1408c50,,0052,000,0100,,NO,NO,,NO,SI,SI,SI,SI
18,EXISTENTE,,,,IGNORAR,SI,,VBAN05-0058-000-0100,BAN05,0058,000,0100,RH MUEBLE VALDEZ ELEVADO LVM 48X43 BLANCO,MUEBLE,,,,,,,UN,RH,NA,BISAGRAS CIERRE LENTO,CANTO 0.45 MM,RFE,,NA,,,,,,,,,true,false,false,DESCRIPCION,,,,,,VALDEZ,,NO,SI,,,,,VINCULADO,,,5e2f9d39-24d6-42cc-aa2e-d07c2546f44c,cae49d5c-3e46-40f8-926b-70241ff12198,,0058,000,0100,,NO,NO,,NO,SI,SI,SI,SI
19,PENDIENTE,,,,CREAR,NO,,VBAN05-0059-000-0100,BAN05,0059,000,0100,MUEBLE BASICO PISO LVM 79X48 BLANCO,MUEBLE,,,,,,,UN,false,false,,,,,,MUEBLE,,,,,,,,false,false,false,,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
20,PENDIENTE,,,,CREAR,NO,,VBAN05-0060-000-0100,BAN05,0060,000,0100,MUEBLE BASICO PISO LVM 94X48 BLANCO,MUEBLE,,,,,,,UN,false,false,,,,,,MUEBLE,,,,,,,,false,false,false,,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
21,EXISTENTE,,,,IGNORAR,SI,,VBAN05-0061-MRH-0100,BAN05,0061,MRH,0100,RH MUEBLE BASICO PISO LVM 124X48 BLANCO,MUEBLE,,,,,,,UN,NA,NA,BISAGRAS CIERRE LENTO,CANTO 2 MM,CON MANIJAS,,NA,,,,,,,,,true,false,false,DESCRIPCION,,,,,,BASICO,,NO,SI,,,,,VINCULADO,,,93e4c896-a18c-4d0d-91e2-fa7073241753,0269487d-6dd7-4a12-bc5c-1683277d75e5,,0061,MRH,0100,,NO,NO,,NO,SI,SI,SI,SI
22,EXISTENTE,,,,IGNORAR,SI,,VBAN05-0063-000-0100,BAN05,0063,000,0100,MUEBLE RAYO 40X30 BLANCO,MUEBLE,,,,,,,UN,NA,NA,NA,CANTO 2 MM,NA,,NA,,,,,,,,,false,false,false,,,,,,,RAYO,,NO,SI,,,,,VINCULADO,,,382f24b2-b286-4b2a-b074-c4ef3062cefd,2c5c56b0-620f-487d-b16e-1c328d89943a,,0063,000,0100,,NO,NO,,NO,SI,SI,SI,SI
23,EXISTENTE,,,,IGNORAR,SI,,VBAN05-0065-000-0100,BAN05,0065,000,0100,MUEBLE LVM TIZIANO ELEVADO 63X48 BLANCO,MUEBLE,,,,,,,UN,NA,NA,BISAGRAS CIERRE LENTO,CANTO 0.45 MM,RFE,,NA,,,,,,,,,false,false,false,,,,,,,TIZIANO,,NO,SI,,,,,VINCULADO,,,78d91409-1080-4c39-9bf5-9295a2a06ba3,24338fcc-92d6-499b-801a-c3eb0a7f4df7,,0065,000,0100,,NO,NO,,NO,SI,SI,SI,SI
24,EXISTENTE,,,,IGNORAR,SI,,VBAN05-0068-000-0100,BAN05,0068,000,0100,RH MUEBLE RAYO 40X30 BLANCO,MUEBLE,,,,,,,UN,RH,NA,NA,CANTO 2 MM,NA,,NA,,,,,,,,,true,false,false,DESCRIPCION,,,,,,RAYO,,NO,SI,,,,,VINCULADO,,,0f63be51-2c5b-4d93-a1a3-fc5aa559c308,ba67b362-d574-4f0b-89c0-a24ef590a387,,0068,000,0100,,NO,NO,,NO,SI,SI,SI,SI
25,EXISTENTE,,,,IGNORAR,SI,,VBAN05-0070-000-0100,BAN05,0070,000,0100,RH MUEBLE BASICO PISO LVM 40X30 CON MANIJAS BLANCO,MUEBLE,,,,,,,UN,RH,NA,BISAGRAS CIERRE LENTO,CANTO 2 MM,CON MANIJAS,,NA,,,,,,,,,true,false,false,DESCRIPCION,,,,,,BASICO,,NO,SI,,,,,VINCULADO,,,fb9e923b-2dd1-41d9-b3cb-fe1e853f9750,20154fff-96e5-4b4f-a7af-cd5e89355db3,,0070,000,0100,,NO,NO,,NO,SI,SI,SI,SI
26,EXISTENTE,,,,IGNORAR,SI,,VBAN05-0071-000-0100,BAN05,0071,000,0100,MUEBLE RAYO 63X48 BLANCO,MUEBLE,,,,,,,UN,NA,NA,NA,CANTO 2 MM,NA,,NA,,,,,,,,,false,false,false,,,,,,,RAYO,,NO,SI,,,,,VINCULADO,,,5cb34467-592f-43da-8726-8f7c12ae210c,1bca1812-728a-4727-b604-0d8202aed2d9,,0071,000,0100,,NO,NO,,NO,SI,SI,SI,SI
27,EXISTENTE,,,,IGNORAR,SI,,VBAN05-0077-000-0100,BAN05,0077,000,0100,MUEBLE MACAO LIFE LVM 79X48 BLANCO,MUEBLE,,,,,,,UN,NA,NA,BISAGRAS CIERRE LENTO,CANTO 2 MM,RFE,,NA,,,,,,,,,false,false,false,,,,,,,MACAO,,NO,SI,,,,,VINCULADO,,,3b055839-6b8e-482b-9f5f-c5f4e9edce19,affd15af-ce0e-4067-851a-e6aeae1d498a,,0077,000,0100,,NO,NO,,NO,SI,SI,SI,SI
28,EXISTENTE,,,,IGNORAR,SI,,VBAN05-0078-000-0100,BAN05,0078,000,0100,MUEBLE MACAO LIFE LVM 63X48 BLANCO,MUEBLE,,,,,,,UN,NA,NA,BISAGRAS CIERRE LENTO,CANTO 2 MM,RFE,,NA,,,,,,,,,false,false,false,,,,,,,MACAO,,NO,SI,,,,,VINCULADO,,,dd2467ed-599a-4515-9444-8793cb2e52ae,75b393a5-7912-4937-8d2d-1a06e00de04f,,0078,000,0100,,NO,NO,,NO,SI,SI,SI,SI
29,PENDIENTE,,,,CREAR,NO,,VBAN05-0081-000-0100,BAN05,0081,000,0100,RH MUEBLE SOPORTE 48X43 BLANCO,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
30,PENDIENTE,,,,CREAR,NO,,VBAN05-0082-000-0100,BAN05,0082,000,0100,RH MUEBLE SOPORTE 40X30 BLANCO,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
31,PENDIENTE,,,,CREAR,NO,,VBAN05-0083-000-0100,BAN05,0083,000,0100,RH MUEBLE SOPORTE 63x48 BLANCO,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
32,PENDIENTE,,,,CREAR,NO,,VBAN05-0084-000-0100,BAN05,0084,000,0100,RH MUEBLE SOPORTE 48X38 BLANCO,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
33,EXISTENTE,,,,IGNORAR,SI,,VBAN05-0087-000-0100,BAN05,0087,000,0100,RH MUEBLE BASICO ELEVADO LVM 63X48 SIN MANIJAS BLANCO,MUEBLE,,,,,,,UN,RH,NA,BISAGRAS CIERRE LENTO,CANTO 2 MM,SIN MANIJAS,,NA,,,,,,,,,true,false,false,DESCRIPCION,,,,,,BASICO,,NO,SI,,,,,VINCULADO,,,fee90368-3355-4456-9662-64f61bc0da48,0a513260-34e6-4a86-ba53-9dfc17edbca5,,0087,000,0100,,NO,NO,,NO,SI,SI,SI,SI
34,EXISTENTE,,,,IGNORAR,SI,,VBAN05-0088-000-0100,BAN05,0088,000,0100,MUEBLE BASICO ELEVADO LVM 63X48 SIN MANIJAS BLANCO,MUEBLE,,,,,,,UN,NA,NA,BISAGRAS CIERRE LENTO,CANTO 2 MM,SIN MANIJAS,,NA,,,,,,,,,false,false,false,,,,,,,BASICO,,NO,SI,,,,,VINCULADO,,,92d4d9f1-e6de-403a-ad30-fe0a9b052d7b,2ac98d9d-efd0-4e86-9f58-e80a1a396fe8,,0088,000,0100,,NO,NO,,NO,SI,SI,SI,SI
35,EXISTENTE,,,,IGNORAR,SI,,VBAN05-0089-MRH-0100,BAN05,0089,MRH,0100,RH MUEBLE LVM TIZIANO ELEVADO 63X48 BLANCO,MUEBLE,,,,,,,UN,RH,NA,BISAGRAS CIERRE LENTO,CANTO 0.45 MM,RFE,,NA,,,,,,,,,true,false,false,DESCRIPCION,,,,,,TIZIANO,,NO,SI,,,,,VINCULADO,,,b26a8d75-138c-409c-aac4-f74073a3399b,4d5f974d-81ee-42ef-ba0a-42b7950cc930,,0089,MRH,0100,,NO,NO,,NO,SI,SI,SI,SI
36,EXISTENTE,,,,IGNORAR,SI,,VBAN05-0092-000-0100,BAN05,0092,000,0100,RH MUEBLE BASICO PISO LVM 63X48 BLANCO,MUEBLE,,,,,,,UN,RH,NA,BISAGRAS CIERRE LENTO,CANTO 2 MM,CON MANIJAS,,NA,,,,,,,,,true,false,false,DESCRIPCION,,,,,,BASICO,,NO,SI,,,,,VINCULADO,,,4aa70d97-c24c-4675-8faf-88a0a7eaedc3,a1a4548a-7992-46b8-8376-c92e6c4fa288,,0092,000,0100,,NO,NO,,NO,SI,SI,SI,SI
37,EXISTENTE,,,,IGNORAR,SI,,VBAN05-0093-000-0100,BAN05,0093,000,0100,RH MUEBLE BASICO ELEVADO LVM 48X43 SIN MANIJAS BLANCO,MUEBLE,,,,,,,UN,RH,NA,BISAGRAS CIERRE LENTO,CANTO 2 MM,SIN MANIJAS,,NA,,,,,,,,,true,false,false,DESCRIPCION,,,,,,BASICO,,NO,SI,,,,,VINCULADO,,,427f84a3-e02f-4df0-9bdc-a739ffa17fc7,a3aa666b-1f4a-4e7c-98c2-32727496fb2f,,0093,000,0100,,NO,NO,,NO,SI,SI,SI,SI
38,EXISTENTE,,,,IGNORAR,SI,,VBAN05-0094-000-0100,BAN05,0094,000,0100,MUEBLE BASICO ELEVADO LVM 48X43 SIN MANIJAS BLANCO,MUEBLE,,,,,,,UN,NA,NA,BISAGRAS CIERRE LENTO,CANTO 2 MM,SIN MANIJAS,,NA,,,,,,,,,false,false,false,,,,,,,BASICO,,NO,SI,,,,,VINCULADO,,,e079bfae-c05d-4d70-8e9c-1b1afbfb5bfb,c3c54f0d-b201-4bbb-82cd-e26e41fcc73b,,0094,000,0100,,NO,NO,,NO,SI,SI,SI,SI
39,EXISTENTE,,,,IGNORAR,SI,,VBAN05-0096-000-0100,BAN05,0096,000,0100,RH MUEBLE MACAO LIFE LVM 63X48 BLANCO,MUEBLE,,,,,,,UN,RH,NA,BISAGRAS CIERRE LENTO,CANTO 2 MM,RFE,,NA,,,,,,,,,true,false,false,DESCRIPCION,,,,,,MACAO,,NO,SI,,,,,VINCULADO,,,be516312-dbf4-4c9f-a4cc-5d5c68b0bda0,c4863eaf-c494-4655-a00f-4cd4e5903e22,,0096,000,0100,,NO,NO,,NO,SI,SI,SI,SI
40,EXISTENTE,,,,IGNORAR,SI,,VBAN05-0098-000-0100,BAN05,0098,000,0100,RH MUEBLE LVM TIZIANO ELEVADO 124X48 BLANCO,MUEBLE,,,,,,,UN,RH,NA,BISAGRAS CIERRE LENTO,CANTO 0.45 MM,RFE,,NA,,,,,,,,,true,false,false,DESCRIPCION,,,,,,TIZIANO,,NO,SI,,,,,VINCULADO,,,58b92409-2ffe-4f97-a3ba-dc65c706e37c,d143db86-ff94-4da9-8293-115f267d12f0,,0098,000,0100,,NO,NO,,NO,SI,SI,SI,SI
41,EXISTENTE,,,,IGNORAR,SI,,VBAN05-0099-000-0100,BAN05,0099,000,0100,RH MUEBLE BASICO PISO LVM 79X48 BLANCO,MUEBLE,,,,,,,UN,RH,NA,BISAGRAS CIERRE LENTO,CANTO 2 MM,CON MANIJAS,,NA,,,,,,,,,true,false,false,DESCRIPCION,,,,,,BASICO,,NO,SI,,,,,VINCULADO,,,2ca71341-4991-460c-95ec-805f98c1cb1f,f1eb274e-73a6-4207-8db0-fb8cc5cbd3b9,,0099,000,0100,,NO,NO,,NO,SI,SI,SI,SI
42,EXISTENTE,,,,IGNORAR,SI,,VBAN05-0100-000-0100,BAN05,0100,000,0100,MUEBLE BASICO ELEVADO LVM 79X48 SIN MANIJAS BLANCO,MUEBLE,,,,,,,UN,NA,NA,BISAGRAS CIERRE LENTO,CANTO 2 MM,SIN MANIJAS,,NA,,,,,,,,,false,false,false,,,,,,,BASICO,,NO,SI,,,,,VINCULADO,,,9dcefcfd-c1ad-4528-8596-9e4f416ea267,2cb5db1b-cd23-44b2-b243-ff2a3ecb9a02,,0100,000,0100,,NO,NO,,NO,SI,SI,SI,SI
43,EXISTENTE,,,,IGNORAR,SI,,VBAN05-0101-000-0100,BAN05,0101,000,0100,RH MUEBLE BASICO PISO LVM 94X48 BLANCO,MUEBLE,,,,,,,UN,RH,NA,BISAGRAS CIERRE LENTO,CANTO 2 MM,CON MANIJAS,,NA,,,,,,,,,true,false,false,DESCRIPCION,,,,,,BASICO,,NO,SI,,,,,VINCULADO,,,418e2d7c-dd01-46e9-83b3-d13fcd5c1ec6,f7302f3e-3c7b-4e8e-8e23-233007772ad8,,0101,000,0100,,NO,NO,,NO,SI,SI,SI,SI
44,EXISTENTE,,,,IGNORAR,SI,,VBAN05-0102-000-0100,BAN05,0102,000,0100,RH MUEBLE LVM TIZIANO ELEVADO 94X48 BLANCO,MUEBLE,,,,,,,UN,RH,NA,BISAGRAS CIERRE LENTO,CANTO 0.45 MM,RFE,,NA,,,,,,,,,true,false,false,DESCRIPCION,,,,,,TIZIANO,,NO,SI,,,,,VINCULADO,,,3ffc8e08-9085-47a7-a319-145ef85a0c23,5f4179de-f289-4620-b93f-15bc39f89ec9,,0102,000,0100,,NO,NO,,NO,SI,SI,SI,SI
45,EXISTENTE,,,,IGNORAR,SI,,VBAN05-0103-000-0100,BAN05,0103,000,0100,RH MUEBLE RAYO 63X48 BLANCO,MUEBLE,,,,,,,UN,RH,NA,NA,CANTO 2 MM,NA,,NA,,,,,,,,,true,false,false,DESCRIPCION,,,,,,RAYO,,NO,SI,,,,,VINCULADO,,,268178d2-3817-4ef6-ac9e-57cb9a3254ab,8f536a44-f702-4a75-8a42-94741d77009c,,0103,000,0100,,NO,NO,,NO,SI,SI,SI,SI
46,EXISTENTE,,,,IGNORAR,SI,,VBAN05-0104-000-0100,BAN05,0104,000,0100,RH MUEBLE RAYO 48X38 BLANCO,MUEBLE,,,,,,,UN,RH,NA,NA,CANTO 2 MM,NA,,NA,,,,,,,,,true,false,false,DESCRIPCION,,,,,,RAYO,,NO,SI,,,,,VINCULADO,,,aa63701e-b19a-49ab-8cc9-7bd674175531,cc9c0081-f78d-4981-a6c6-781367a8cbb5,,0104,000,0100,,NO,NO,,NO,SI,SI,SI,SI
47,EXISTENTE,,,,IGNORAR,SI,,VBAN05-0105-000-0100,BAN05,0105,000,0100,RH MUEBLE RAYO 48X43 BLANCO,MUEBLE,,,,,,,UN,RH,NA,NA,CANTO 2 MM,NA,,NA,,,,,,,,,true,false,false,DESCRIPCION,,,,,,RAYO,,NO,SI,,,,,VINCULADO,,,6d038660-fc9a-444e-9eba-6434a935a9a8,e778684d-4b1a-4fa1-9636-4801fed51931,,0105,000,0100,,NO,NO,,NO,SI,SI,SI,SI
48,EXISTENTE,,,,IGNORAR,SI,,VBAN05-0106-000-0100,BAN05,0106,000,0100,RH MUEBLE MACAO LIFE LVM 79X48 BLANCO,MUEBLE,,,,,,,UN,RH,NA,BISAGRAS CIERRE LENTO,CANTO 2 MM,RFE,,NA,,,,,,,,,true,false,false,DESCRIPCION,,,,,,MACAO,,NO,SI,,,,,VINCULADO,,,80295435-12fe-4821-bd79-7f0242c6a0fb,c59d1fa7-4a90-4716-8c17-ab44d583bf04,,0106,000,0100,,NO,NO,,NO,SI,SI,SI,SI
49,EXISTENTE,,,,IGNORAR,SI,,VBAN05-0107-000-0100,BAN05,0107,000,0100,RH MUEBLE BASICO ELEVADO LVM 79X48 SIN MANIJAS BLANCO,MUEBLE,,,,,,,UN,RH,NA,BISAGRAS CIERRE LENTO,CANTO 2 MM,SIN MANIJAS,,NA,,,,,,,,,true,false,false,DESCRIPCION,,,,,,BASICO,,NO,SI,,,,,VINCULADO,,,c3f1e8ba-d468-4614-b464-8cda3eb401b8,3a66e509-60b5-4cb9-b853-a75f1f3ab738,,0107,000,0100,,NO,NO,,NO,SI,SI,SI,SI
